Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00.0,26.63770435,22.3264974,2.450141059,55.13647461
2,00:00.1,47.67300528,46.09147135,3.309027778,93.61851671
3,00:00.1,29.47220414,36.64371745,3.88937717,47.8835178
4,00:00.1,24.12915039,37.75181749,2.996310764,31.63932292
5,00:00.2,13.24497251,13.31060113,3.981391059,22.44292535
6,00:00.2,10.79356554,14.44737413,2.679144965,15.25417752
7,00:00.2,11.54605216,13.08363173,4.0964898,17.45803494
8,00:00.3,11.30312319,15.6344401,2.695800781,15.57912869
9,00:00.3,6.284450955,3.470133464,3.367567274,12.01565213
10,00:00.3,9.471625434,11.31410048,3.54288737,13.55788845
11,00:00.4,4.937129268,2.090413411,3.416341146,9.304633247
12,00:00.4,6.456443504,6.915527344,3.205295139,9.24850803
13,00:00.4,6.404224537,5.521375868,3.927978516,9.763319227
14,00:00.5,4.940040871,5.046766493,2.450683594,7.322672526
15,00:00.5,5.355975116,4.69672309,2.291232639,9.079969618
16,00:00.5,4.06958912,4.644856771,1.133273655,6.430636936
17,00:00.6,1.257966218,1.384982639,0.328342014,2.060574002
18,00:00.6,1.93456127,1.877902561,0.668212891,3.257568359
19,00:00.6,1.938874421,1.563612196,0.784939236,3.468071832
20,00:00.7,2.074019821,2.149061415,0.687906901,3.385091146
21,00:00.7,1.664514612,1.603597005,0.548475477,2.841471354
22,00:00.7,1.481852214,1.514160156,0.480414497,2.450981988
23,00:00.8,1.248842593,1.035590278,0.466688368,2.244249132
24,00:00.8,1.889865451,1.583631727,0.755560981,3.330403646
25,00:00.8,0.747766565,0.445583767,0.427435981,1.370279948
26,00:00.9,1.54973235,0.978190104,0.88547092,2.785536024
27,00:00.9,2.474446615,1.866861979,1.149386936,4.407090929
28,00:00.9,1.128255208,0.595675998,0.746120877,2.04296875
29,00:01.0,2.766285084,1.91140408,1.398546007,4.988905165
30,00:01.0,2.04872866,1.27102322,1.168646918,3.706515842
31,00:01.0,1.576804832,1.024251302,0.832655165,2.87350803
32,00:01.1,3.035083912,2.139756944,1.474880642,5.490614149
33,00:01.1,1.527714482,0.573215061,1.077094184,2.932834201
34,00:01.1,2.151303892,1.468207465,1.142415365,3.843288845
35,00:01.2,1.895046658,1.115831163,1.072129991,3.497178819
36,00:01.2,1.712917752,0.995035807,1.034098307,3.109619141
37,00:01.2,2.521095558,2.023247613,1.054741753,4.485297309
38,00:01.3,1.376971209,0.746500651,0.901312934,2.483100043
39,00:01.3,1.6528682,1.255208333,0.853705512,2.849690755
40,00:01.3,2.785581236,2.230875651,1.119737413,5.006130642
41,00:01.4,1.202446832,0.702555339,0.705566406,2.19921875
42,00:01.4,1.194661458,1.208685981,0.402804905,1.97249349
43,00:01.4,0.79607024,0.615912543,0.38289388,1.389404297
44,00:01.5,1.097177011,1.079345703,0.399576823,1.812608507
45,00:01.5,0.646439164,0.62125651,0.27468533,1.043375651
46,00:01.5,0.375994647,0.346544054,0.181532118,0.599907769
47,00:01.6,70.06597222,63.47243924,61.63937717,85.08610026
48,00:01.6,1.937572338,1.94140625,0.748643663,3.122667101
49,00:01.6,0.861102069,0.781548394,0.595974392,1.20578342
50,00:01.7,1.189480252,0.932779948,0.821424696,1.814236111
51,00:01.7,1.70018627,1.651394314,1.005995009,2.443169488
52,00:01.7,0.845458984,0.567165799,0.692599826,1.276611328
53,00:01.8,1.377387153,1.324083116,0.854546441,1.953531901
54,00:01.8,1.28116862,1.117214627,0.912923177,1.813368056
55,00:01.8,1.446596499,1.23695204,1.039469401,2.063368056
56,00:01.9,2.181043837,2.101345486,1.295030382,3.146755642
57,00:01.9,1.225486473,1.032172309,0.951307509,1.692979601
58,00:01.9,1.974537037,1.914089627,1.259575738,2.749945747
59,00:02.0,1.873824508,1.819173177,1.32820638,2.474093967
60,00:02.0,2.637089482,2.808837891,1.708821615,3.393608941
61,00:02.0,2.124095775,2.038302951,1.61070421,2.723280165
62,00:02.1,2.721679688,2.846028646,1.879150391,3.439860026
63,00:02.1,2.306342231,2.235324436,1.791965061,2.891737196
64,00:02.1,3.005660446,3.212131076,2.016628689,3.788221571
65,00:02.2,2.296856916,2.171359592,1.761583116,2.957628038
66,00:02.2,2.642587167,2.635443793,1.974799262,3.317518446
67,00:02.2,2.266701027,2.008924696,1.913465712,2.877712674
68,00:02.3,2.823540582,2.548177083,2.215467665,3.706976997
69,00:02.3,2.902416088,2.821072049,2.370659722,3.515516493
70,00:02.3,2.420319734,1.997721354,2.199354384,3.063883464
71,00:02.4,3.087366175,2.924723307,2.402370877,3.93500434
72,00:02.4,2.743028429,2.55734592,2.2421875,3.429551866
73,00:02.4,2.229003906,1.953721788,1.819417318,2.913872613
74,00:02.5,2.956687645,2.843370226,2.373535156,3.653157552
75,00:02.5,2.480604384,2.352918837,2.106987847,2.981906467
76,00:02.5,3.006275318,2.903211806,2.322347005,3.793267144
77,00:02.6,2.893156829,2.925265842,2.135199653,3.619004991
78,00:02.6,3.542173032,3.684977214,2.172905816,4.768636068
79,00:02.6,3.720739294,3.944091797,2.192979601,5.025146484
80,00:02.7,2.823178892,2.775770399,1.926567925,3.767198351
81,00:02.7,2.523536965,2.501057943,1.702853733,3.366699219
82,00:02.7,1.97583912,1.847764757,1.491753472,2.587999132
83,00:02.8,2.385823568,2.433837891,1.445827908,3.277804905
84,00:02.8,2.07687717,1.928304036,1.440809462,2.861518012
85,00:02.8,2.614718967,2.732584635,1.623399523,3.488172743
86,00:02.9,2.198215061,2.326416016,1.400634766,2.867594401
87,00:02.9,2.394287109,2.837700738,1.494032118,2.851128472
88,00:02.9,3.278636791,3.864257813,1.660942925,4.310709635
89,00:03.0,1.366871021,1.194363064,1.010769314,1.895480686
90,00:03.0,2.182852286,2.628634983,1.178005642,2.741916233
91,00:03.0,1.646674262,1.849962023,1.090820313,1.999240451
92,00:03.1,1.826081453,1.809244792,1.174587674,2.494411892
93,00:03.1,1.282127098,1.08219401,0.986897786,1.777289497
94,00:03.1,1.5418023,1.67561849,0.969401042,1.98038737
95,00:03.2,1.574390553,1.794325087,0.864095052,2.064751519
96,00:03.2,2.081967954,2.260335286,1.031792535,2.953776042
97,00:03.2,1.016140408,0.989312066,0.70429145,1.354817708
98,00:03.3,1.841941551,2.041097005,0.988796658,2.49593099
99,00:03.3,1.480541088,1.556043837,0.910970052,1.974609375
100,00:03.3,1.719337746,1.818088108,1.004801432,2.335123698
101,00:03.4,1.336172598,1.19780816,0.924045139,1.886664497
102,00:03.4,1.384819878,1.350477431,0.863633898,1.940348307
103,00:03.4,1.66434281,1.698079427,1.064697266,2.230251736
104,00:03.5,2.941153067,3.596055773,1.359754774,3.867648655
105,00:03.5,0.997522425,0.784857856,0.765842014,1.441867405
106,00:03.5,1.528736256,1.527777778,0.991861979,2.06656901
107,00:03.6,2.78656684,2.905409071,1.336615668,4.117675781
108,00:03.6,1.396855107,1.062011719,1.015679253,2.112874349
109,00:03.6,2.263292101,2.393581814,1.185384115,3.210910373
110,00:03.7,1.309968171,1.250759549,0.826551649,1.852593316
111,00:03.7,1.598108362,1.43766276,0.96742079,2.389241536
112,00:03.7,2.617684823,2.817165799,1.257921007,3.777967665
113,00:03.8,1.313774957,1.03664822,0.974934896,1.929741753
114,00:03.8,2.443440755,2.473280165,1.242160373,3.614881727
115,00:03.8,1.681929977,1.479437934,1.07945421,2.486897786
116,00:03.9,1.683620877,1.419514974,1.17320421,2.458143446
117,00:03.9,2.806957104,2.902967665,1.480712891,4.037190755
