Timecode List:,00:00:11.845,00:00:12.579,00:00:13.247,00:00:15.616,00:00:17.818,00:00:21.321,00:00:21.922,00:00:23.891,00:00:24.992,00:00:27.895,00:00:32.199,00:00:36.270,00:00:37.137,00:00:37.971,00:00:40.607,00:00:43.176,00:00:43.911,00:00:44.678,00:00:48.048,00:00:49.650,00:00:51.251,00:00:52.252,00:00:54.454,00:00:56.657,00:00:58.325,00:01:00.027,00:01:02.663,00:01:07.634,00:01:11.738,00:01:13.040,00:01:15.943,00:01:19.246,00:01:21.982,00:01:24.651,00:01:28.422,00:01:29.856,00:01:30.991,00:01:36.029,00:01:39.900,00:01:41.335,00:01:42.336,00:01:48.041,00:01:50.477,00:01:51.044,00:01:52.212,00:01:53.046,00:01:53.914,00:01:57.951,00:01:59.686,00:02:00.520,00:02:12.432,00:02:14.601,00:02:17.537,00:02:25.512,00:02:26.446,00:02:40.894,00:02:41.828,00:02:43.030,00:02:45.932,00:02:51.905,00:02:57.210,00:02:59.780,00:03:02.716,00:03:05.152,00:03:05.852,00:03:06.887,00:03:07.754,00:03:08.555,00:03:09.456,00:03:10.357,00:03:18.065,00:03:23.770,00:03:32.245,00:03:35.615,00:03:38.185,00:03:40.287,00:03:45.025,00:03:48.762,00:03:49.329,00:03:53.133,00:03:54.067,00:03:55.769,00:04:00.740,00:04:02.709,00:04:05.679,00:04:06.746,00:04:08.181,00:04:09.916,00:04:13.620,00:04:18.091,00:04:19.559,00:04:20.727,00:04:21.528,00:04:22.362,00:04:23.296,00:04:24.097,00:04:27.801,00:04:32.672,00:04:33.473,00:04:34.141,00:04:38.512,00:04:42.883,00:04:44.384,00:04:46.119
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,355,00:00:11.845,11.845,355,00:00:11.845,11.845
2,355,00:00:11.845,11.845,377,00:00:12.579,12.579,22,00:00:00.734,0.734
3,377,00:00:12.579,12.579,397,00:00:13.247,13.247,20,00:00:00.667,0.667
4,397,00:00:13.247,13.247,468,00:00:15.616,15.616,71,00:00:02.369,2.369
5,468,00:00:15.616,15.616,534,00:00:17.818,17.818,66,00:00:02.202,2.202
6,534,00:00:17.818,17.818,639,00:00:21.321,21.321,105,00:00:03.504,3.504
7,639,00:00:21.321,21.321,657,00:00:21.922,21.922,18,00:00:00.601,0.601
8,657,00:00:21.922,21.922,716,00:00:23.891,23.891,59,00:00:01.969,1.969
9,716,00:00:23.891,23.891,749,00:00:24.992,24.992,33,00:00:01.101,1.101
10,749,00:00:24.992,24.992,836,00:00:27.895,27.895,87,00:00:02.903,2.903
11,836,00:00:27.895,27.895,965,00:00:32.199,32.199,129,00:00:04.304,4.304
12,965,00:00:32.199,32.199,1087,00:00:36.270,36.270,122,00:00:04.071,4.071
13,1087,00:00:36.270,36.270,1113,00:00:37.137,37.137,26,00:00:00.868,0.868
14,1113,00:00:37.137,37.137,1138,00:00:37.971,37.971,25,00:00:00.834,0.834
15,1138,00:00:37.971,37.971,1217,00:00:40.607,40.607,79,00:00:02.636,2.636
16,1217,00:00:40.607,40.607,1294,00:00:43.176,43.176,77,00:00:02.569,2.569
17,1294,00:00:43.176,43.176,1316,00:00:43.911,43.911,22,00:00:00.734,0.734
18,1316,00:00:43.911,43.911,1339,00:00:44.678,44.678,23,00:00:00.767,0.767
19,1339,00:00:44.678,44.678,1440,00:00:48.048,48.048,101,00:00:03.370,3.370
20,1440,00:00:48.048,48.048,1488,00:00:49.650,49.650,48,00:00:01.602,1.602
21,1488,00:00:49.650,49.650,1536,00:00:51.251,51.251,48,00:00:01.602,1.602
22,1536,00:00:51.251,51.251,1566,00:00:52.252,52.252,30,00:00:01.001,1.001
23,1566,00:00:52.252,52.252,1632,00:00:54.454,54.454,66,00:00:02.202,2.202
24,1632,00:00:54.454,54.454,1698,00:00:56.657,56.657,66,00:00:02.202,2.202
25,1698,00:00:56.657,56.657,1748,00:00:58.325,58.325,50,00:00:01.668,1.668
26,1748,00:00:58.325,58.325,1799,00:01:00.027,60.027,51,00:00:01.702,1.702
27,1799,00:01:00.027,60.027,1878,00:01:02.663,62.663,79,00:00:02.636,2.636
28,1878,00:01:02.663,62.663,2027,00:01:07.634,67.634,149,00:00:04.972,4.972
29,2027,00:01:07.634,67.634,2150,00:01:11.738,71.738,123,00:00:04.104,4.104
30,2150,00:01:11.738,71.738,2189,00:01:13.040,73.040,39,00:00:01.301,1.301
31,2189,00:01:13.040,73.040,2276,00:01:15.943,75.943,87,00:00:02.903,2.903
32,2276,00:01:15.943,75.943,2375,00:01:19.246,79.246,99,00:00:03.303,3.303
33,2375,00:01:19.246,79.246,2457,00:01:21.982,81.982,82,00:00:02.736,2.736
34,2457,00:01:21.982,81.982,2537,00:01:24.651,84.651,80,00:00:02.669,2.669
