Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,5.055920138888889,6.382899305555555,4.820677083333333,3.964184027777778
2,00:00:00.067,5.151539351851852,6.786822916666667,4.687465277777778,3.980329861111111
3,00:00:00.100,5.48636574074074,7.087361111111111,5.092239583333333,4.279496527777778
4,00:00:00.133,5.378524305555556,7.309722222222222,4.794288194444444,4.0315625
5,00:00:00.167,5.443645833333334,7.206215277777778,4.831388888888889,4.293333333333333
6,00:00:00.200,5.640208333333334,7.5796875,5.010364583333334,4.330572916666667
7,00:00:00.234,6.1554976851851855,8.21890625,5.453663194444444,4.793923611111111
8,00:00:00.267,6.086001157407408,8.092673611111111,5.4746701388888885,4.690659722222223
9,00:00:00.300,6.493761574074074,8.572100694444444,5.89796875,5.011215277777778
10,00:00:00.334,6.342887731481483,8.354079861111112,5.8678993055555555,4.806684027777778
11,00:00:00.367,6.430347222222221,8.386111111111111,5.984184027777777,4.920746527777778
12,00:00:00.400,5.9122511574074075,7.587864583333333,5.60890625,4.539982638888889
13,00:00:00.434,6.213020833333332,8.254166666666666,5.775746527777778,4.6091493055555555
14,00:00:00.467,5.822829861111111,7.370434027777778,5.730364583333333,4.367690972222222
15,00:00:00.501,6.33574074074074,8.168315972222222,6.0811979166666665,4.757708333333333
16,00:00:00.534,6.1738483796296295,7.749270833333333,5.9930208333333335,4.779253472222222
17,00:00:00.567,6.552170138888889,8.364565972222222,6.179982638888889,5.111961805555556
18,00:00:00.601,6.526487268518519,7.962777777777778,6.427621527777778,5.1890625
19,00:00:00.634,6.903616898148148,8.709409722222222,6.634236111111111,5.367204861111111
20,00:00:00.667,6.996452546296297,8.793454861111112,6.777881944444444,5.418020833333333
21,00:00:00.701,7.749068287037037,9.735173611111112,7.529079861111111,5.982951388888889
22,00:00:00.734,7.242262731481482,8.417013888888889,7.405798611111111,5.903975694444444
23,00:00:00.767,7.760399305555556,9.548142361111111,7.510295138888889,6.222760416666667
24,00:00:00.801,7.289502314814816,8.683229166666667,7.110885416666667,6.074392361111111
25,00:00:00.834,7.667905092592593,10.048159722222222,6.8078819444444445,6.147673611111111
26,00:00:00.868,7.848275462962962,10.57125,6.757256944444444,6.216319444444444
27,00:00:00.901,6.922517361111112,8.261822916666667,6.463923611111111,6.041805555555555
28,00:00:00.934,6.777071759259258,7.6105729166666665,6.53828125,6.182361111111111
29,00:00:00.968,6.454971064814814,6.814010416666667,6.393368055555555,6.1575347222222225
30,00:00:01.001,6.259959490740741,6.160208333333333,6.537951388888889,6.08171875
31,00:00:01.034,6.641163194444444,6.7925,6.667847222222222,6.463142361111111
32,00:00:01.068,5.91255787037037,5.654930555555556,6.352604166666667,5.730138888888889
33,00:00:01.101,6.204965277777778,6.071197916666667,6.609756944444444,5.9339409722222225
34,00:00:01.134,6.406400462962964,6.446041666666667,6.723402777777777,6.049756944444445
35,00:00:01.168,6.19701388888889,5.9539583333333335,6.71046875,5.9266145833333335
36,00:00:01.201,6.231545138888889,5.711388888888889,6.962118055555556,6.021128472222222
37,00:00:01.235,6.591921296296296,6.551788194444445,6.900347222222222,6.3236284722222225
38,00:00:01.268,5.940052083333334,5.4075347222222225,6.6882118055555555,5.724409722222222
39,00:00:01.301,6.501527777777778,6.37859375,6.962291666666666,6.163697916666667
40,00:00:01.335,7.186799768518519,7.893958333333333,7.212881944444445,6.453559027777778
41,00:00:01.368,6.863773148148148,6.977725694444445,7.187118055555556,6.426475694444444
42,00:00:01.401,7.575277777777778,8.692552083333334,7.278576388888889,6.754704861111111
43,00:00:01.435,6.6376331018518515,6.651701388888889,7.030451388888889,6.230746527777778
44,00:00:01.468,7.13365162037037,8.029756944444445,7.135052083333333,6.2361458333333335
45,00:00:01.502,7.049079861111111,7.3925,7.290329861111111,6.464409722222222
46,00:00:01.535,7.454947916666666,7.989236111111111,7.6229861111111115,6.7526215277777775
47,00:00:01.568,7.40609375,7.504479166666667,8.003298611111111,6.710503472222222
48,00:00:01.602,7.827332175925926,8.56845486111111,8.07060763888889,6.842934027777778
49,00:00:01.635,7.37894675925926,7.481440972222222,8.02875,6.6266493055555555
50,00:00:01.668,7.703912037037038,8.218489583333334,8.103802083333333,6.789444444444444
51,00:00:01.702,8.05183449074074,8.573125,8.448298611111111,7.134079861111111
52,00:00:01.735,8.21806712962963,8.868697916666667,8.491649305555555,7.293854166666667
53,00:00:01.768,8.52822337962963,9.143854166666667,8.939479166666667,7.501336805555556
54,00:00:01.802,8.80193287037037,9.413263888888888,9.304739583333333,7.687795138888889
55,00:00:01.835,9.105219907407408,10.061788194444444,9.423229166666667,7.830642361111111
56,00:00:01.869,9.104542824074075,9.819722222222222,9.614930555555556,7.878975694444445
57,00:00:01.902,9.14509837962963,9.975555555555555,9.612083333333333,7.84765625
58,00:00:01.935,9.150509259259259,9.969131944444445,9.602065972222222,7.880329861111111
59,00:00:01.969,9.183414351851852,9.918125,9.58984375,8.042274305555555
60,00:00:02.002,9.46214699074074,10.248333333333333,9.887934027777778,8.25017361111111
61,00:00:02.035,9.451082175925926,9.950364583333334,10.094288194444445,8.30859375
62,00:00:02.069,9.483894675925926,9.958628472222221,9.991961805555556,8.50109375
63,00:00:02.102,9.951122685185185,10.722204861111111,10.395694444444445,8.73546875
64,00:00:02.135,9.756562500000001,9.965989583333334,10.605190972222223,8.698506944444444
65,00:00:02.169,10.482459490740741,11.3353125,11.008402777777778,9.103663194444444
66,00:00:02.202,10.343819444444444,11.110416666666667,10.825260416666667,9.09578125
67,00:00:02.236,10.775416666666667,11.871892361111112,11.133333333333333,9.321024305555556
68,00:00:02.269,10.621840277777777,11.4596875,11.091388888888888,9.314444444444444
69,00:00:02.302,10.994971064814814,12.454097222222222,11.0196875,9.511128472222222
70,00:00:02.336,10.710769675925926,11.82407986111111,10.883871527777778,9.424357638888889
71,00:00:02.369,11.10240162037037,12.636284722222221,11.0571875,9.613732638888889
72,00:00:02.402,10.821655092592593,12.007534722222223,10.885034722222223,9.572395833333333
73,00:00:02.436,10.953368055555556,12.487795138888888,10.760034722222223,9.612274305555555
74,00:00:02.469,10.755017361111113,12.00921875,10.717413194444445,9.538420138888888
75,00:00:02.502,10.879508101851853,12.34484375,10.693194444444444,9.600486111111111
